Point,Pressure(hPa),Temp(C)
1,999.850000,26.600000
2,999.850000,26.600000
3,999.840000,26.610000
4,999.840000,26.600000
5,999.840000,26.610000
6,999.840000,26.600000
7,999.850000,26.600000
8,999.850000,26.590000
9,999.850000,26.590000
10,999.850000,26.600000
11,999.850000,26.600000
12,999.850000,26.600000
13,999.850000,26.590000
14,999.850000,26.590000
15,999.850000,26.600000
16,999.850000,26.600000
17,999.850000,26.600000
18,999.850000,26.600000
19,999.840000,26.600000
20,999.840000,26.600000
21,999.840000,26.600000
22,999.840000,26.600000
23,999.840000,26.600000
24,999.840000,26.600000
25,999.840000,26.610000
26,999.830000,26.600000
27,999.830000,26.600000
28,999.840000,26.600000
29,999.840000,26.600000
30,999.840000,26.600000
31,999.840000,26.600000
32,999.840000,26.600000
33,999.840000,26.600000
34,999.840000,26.600000
35,999.840000,26.600000
36,999.840000,26.600000
37,999.840000,26.600000
38,999.840000,26.610000
39,999.840000,26.600000
40,999.840000,26.610000
41,999.840000,26.600000
42,999.840000,26.610000
43,999.840000,26.600000
44,999.840000,26.610000
45,999.840000,26.600000
46,999.840000,26.590000
47,999.840000,26.590000
48,999.840000,26.590000
49,999.840000,26.590000
50,999.840000,26.580000
51,999.840000,26.580000
52,999.840000,26.600000
53,999.840000,26.600000
54,999.840000,26.590000
55,999.840000,26.590000
56,999.850000,26.590000
57,999.850000,26.590000
58,999.850000,26.600000
59,999.850000,26.590000
60,999.850000,26.600000
61,999.850000,26.600000
62,999.850000,26.600000
63,999.860000,26.600000
64,999.850000,26.610000
65,999.850000,26.610000
66,999.860000,26.600000
67,999.850000,26.610000
68,999.850000,26.600000
69,999.850000,26.610000
70,999.850000,26.600000
71,999.850000,26.610000
72,999.850000,26.610000
73,999.850000,26.610000
74,999.850000,26.620000
75,999.850000,26.610000
76,999.850000,26.610000
77,999.850000,26.610000
78,999.850000,26.610000
79,999.850000,26.620000
80,999.850000,26.610000
81,999.850000,26.610000
82,999.850000,26.620000
83,999.850000,26.620000
84,999.860000,26.620000
85,999.860000,26.610000
86,999.860000,26.620000
87,999.860000,26.620000
88,999.860000,26.620000
89,999.860000,26.620000
90,999.860000,26.630000
91,999.860000,26.620000
92,999.860000,26.630000
93,999.860000,26.630000
94,999.860000,26.630000
95,999.860000,26.630000
96,999.860000,26.620000
97,999.860000,26.630000
98,999.860000,26.630000
99,999.860000,26.630000
100,999.860000,26.640000
101,999.860000,26.630000
102,999.870000,26.630000
103,999.870000,26.630000
104,999.870000,26.630000
105,999.860000,26.640000
106,999.860000,26.630000
107,999.860000,26.640000
108,999.860000,26.630000
109,999.870000,26.640000
110,999.870000,26.640000
111,999.860000,26.630000
112,999.860000,26.630000
113,999.870000,26.630000
114,999.870000,26.640000
115,999.870000,26.650000
116,999.870000,26.640000
117,999.870000,26.640000
118,999.870000,26.640000
119,999.870000,26.640000
120,999.870000,26.630000
121,999.870000,26.630000
122,999.870000,26.640000
123,999.870000,26.630000
124,999.870000,26.640000
125,999.870000,26.640000
126,999.870000,26.650000
127,999.870000,26.640000
128,999.870000,26.640000
129,999.870000,26.650000
130,999.870000,26.650000
131,999.870000,26.660000
132,999.870000,26.660000
133,999.870000,26.660000
134,999.870000,26.670000
135,999.870000,26.670000
136,999.870000,26.670000
137,999.870000,26.660000
138,999.870000,26.660000
139,999.860000,26.650000
140,999.860000,26.650000
141,999.860000,26.650000
142,999.870000,26.660000
143,999.870000,26.650000
144,999.870000,26.650000
145,999.870000,26.650000
146,999.870000,26.650000
147,999.870000,26.650000
148,999.860000,26.640000
149,999.870000,26.660000
150,999.880000,26.650000
151,999.880000,26.660000
152,999.880000,26.660000
153,999.880000,26.660000
154,999.890000,26.670000
155,999.880000,26.660000
156,999.860000,26.660000
157,999.860000,26.670000
158,999.860000,26.670000
159,999.870000,26.670000
160,999.870000,26.670000
161,999.870000,26.670000
162,999.870000,26.650000
163,999.870000,26.670000
164,999.870000,26.670000
165,999.870000,26.670000
166,999.870000,26.660000
167,999.860000,26.660000
168,999.860000,26.660000
169,999.860000,26.660000
170,999.860000,26.660000
171,999.860000,26.660000
172,999.860000,26.660000
173,999.870000,26.660000
174,999.870000,26.660000
175,999.870000,26.660000
176,999.870000,26.650000
177,999.870000,26.650000
178,999.870000,26.650000
179,999.870000,26.660000
180,999.870000,26.650000
181,999.870000,26.650000
182,999.870000,26.650000
183,999.870000,26.650000
184,999.870000,26.650000
185,999.870000,26.660000
186,999.880000,26.670000
187,999.870000,26.670000
188,999.870000,26.660000
189,999.870000,26.660000
190,999.870000,26.670000
191,999.870000,26.660000
192,999.880000,26.670000
193,999.880000,26.670000
194,999.870000,26.660000
195,999.870000,26.660000
196,999.870000,26.660000
197,999.870000,26.660000
198,999.870000,26.660000
199,999.870000,26.660000
200,999.870000,26.660000
201,999.870000,26.660000
202,999.870000,26.660000
203,999.870000,26.670000
204,999.870000,26.670000
205,999.870000,26.670000
206,999.870000,26.660000
207,999.870000,26.660000
208,999.860000,26.660000
209,999.860000,26.660000
210,999.860000,26.660000
211,999.860000,26.660000
212,999.870000,26.660000
213,999.860000,26.660000
214,999.860000,26.660000
215,999.860000,26.650000
216,999.860000,26.660000
217,999.860000,26.660000
218,999.860000,26.650000
219,999.860000,26.650000
220,999.860000,26.650000
221,999.860000,26.650000
222,999.870000,26.660000
223,999.870000,26.650000
224,999.870000,26.650000
225,999.870000,26.650000
226,999.870000,26.650000
227,999.870000,26.650000
228,999.870000,26.650000
229,999.870000,26.650000
230,999.870000,26.650000
231,999.870000,26.650000
232,999.870000,26.650000
233,999.870000,26.650000
234,999.870000,26.640000
235,999.870000,26.640000
236,999.870000,26.640000
237,999.870000,26.640000
238,999.870000,26.620000
239,999.870000,26.630000
240,999.870000,26.630000
241,999.870000,26.640000
242,999.870000,26.640000
243,999.870000,26.630000
244,999.870000,26.630000
245,999.870000,26.650000
246,999.870000,26.650000
247,999.870000,26.640000
248,999.870000,26.640000
249,999.870000,26.650000
250,999.870000,26.640000
251,999.870000,26.640000
252,999.870000,26.630000
253,999.870000,26.650000
254,999.870000,26.650000
255,999.870000,26.650000
256,999.870000,26.650000
257,999.860000,26.650000
258,999.860000,26.650000
259,999.860000,26.650000
260,999.860000,26.660000
261,999.860000,26.670000
262,999.860000,26.670000
263,999.860000,26.680000
264,999.860000,26.670000
265,999.860000,26.680000
266,999.860000,26.670000
267,999.860000,26.680000
268,999.860000,26.680000
269,999.860000,26.670000
270,999.860000,26.670000
271,999.860000,26.670000
272,999.860000,26.670000
273,999.860000,26.670000
274,999.870000,26.680000
275,999.870000,26.680000
276,999.870000,26.670000
277,999.870000,26.670000
278,999.870000,26.670000
279,999.870000,26.670000
280,999.870000,26.670000
281,999.870000,26.670000
282,999.870000,26.670000
283,999.860000,26.670000
284,999.870000,26.670000
285,999.860000,26.670000
286,999.870000,26.670000
287,999.870000,26.670000
288,999.870000,26.670000
289,999.870000,26.680000
290,999.870000,26.680000
291,999.870000,26.670000
292,999.870000,26.670000
293,999.870000,26.670000
294,999.870000,26.670000
295,999.870000,26.670000
296,999.870000,26.670000
297,999.870000,26.680000
298,999.870000,26.680000
299,999.870000,26.670000
300,999.870000,26.660000
301,999.870000,26.670000
302,999.870000,26.680000
303,999.870000,26.670000
304,999.870000,26.670000
305,999.870000,26.670000
306,999.870000,26.670000
307,999.870000,26.670000
308,999.860000,26.670000
309,999.860000,26.670000
310,999.860000,26.680000
311,999.860000,26.670000
312,999.860000,26.670000
313,999.860000,26.670000
314,999.860000,26.670000
315,999.860000,26.680000
316,999.860000,26.680000
317,999.860000,26.670000
318,999.860000,26.670000
319,999.860000,26.680000
320,999.860000,26.690000
321,999.860000,26.690000
322,999.860000,26.690000
323,999.860000,26.690000
324,999.860000,26.680000
325,999.860000,26.680000
326,999.860000,26.680000
327,999.860000,26.680000
328,999.870000,26.680000
329,999.870000,26.670000
330,999.870000,26.680000
331,999.870000,26.680000
332,999.870000,26.680000
333,999.870000,26.680000
334,999.870000,26.680000
335,999.870000,26.680000
336,999.870000,26.670000
337,999.870000,26.680000
338,999.870000,26.680000
339,999.880000,26.690000
340,999.880000,26.690000
341,999.880000,26.700000
342,999.880000,26.700000
343,999.880000,26.690000
344,999.890000,26.690000
345,999.890000,26.700000
346,999.890000,26.690000
347,999.890000,26.690000
348,999.890000,26.690000
349,999.890000,26.700000
350,999.890000,26.700000
351,999.890000,26.700000
352,999.890000,26.710000
353,999.890000,26.710000
354,999.900000,26.710000
355,999.890000,26.700000
356,999.900000,26.700000
357,999.890000,26.690000
358,999.890000,26.690000
359,999.890000,26.690000
360,999.890000,26.690000
361,999.890000,26.690000
362,999.890000,26.690000
363,999.890000,26.700000
364,999.890000,26.700000
365,999.890000,26.700000
366,999.890000,26.690000
367,999.890000,26.690000
368,999.890000,26.700000
369,999.880000,26.700000
370,999.880000,26.700000
371,999.880000,26.700000
372,999.870000,26.700000
373,999.880000,26.710000
374,999.870000,26.710000
375,999.880000,26.710000
376,999.880000,26.700000
377,999.880000,26.700000
378,999.880000,26.710000
379,999.880000,26.700000
380,999.890000,26.710000
381,999.890000,26.710000
382,999.890000,26.710000
383,999.890000,26.710000
384,999.890000,26.700000
385,999.890000,26.700000
386,999.890000,26.710000
387,999.900000,26.700000
388,999.900000,26.710000
389,999.900000,26.700000
390,999.900000,26.700000
391,999.900000,26.690000
392,999.890000,26.700000
393,999.890000,26.700000
394,999.890000,26.700000
395,999.880000,26.710000
396,999.880000,26.700000
397,999.880000,26.700000
398,999.880000,26.700000
399,999.880000,26.700000
400,999.890000,26.700000
401,999.880000,26.710000
402,999.890000,26.710000
403,999.890000,26.710000
404,999.890000,26.700000
405,999.890000,26.690000
406,999.880000,26.700000
407,999.890000,26.700000
408,999.890000,26.710000
409,999.890000,26.690000
410,999.900000,26.700000
411,999.900000,26.690000
412,999.900000,26.680000
413,999.900000,26.690000
414,999.900000,26.690000
415,999.900000,26.680000
416,999.900000,26.690000
417,999.900000,26.690000
418,999.900000,26.690000
419,999.900000,26.700000
420,999.900000,26.690000
421,999.900000,26.690000
422,999.900000,26.690000
423,999.910000,26.680000
424,999.910000,26.690000
425,999.910000,26.680000
426,999.910000,26.680000
427,999.910000,26.680000
428,999.910000,26.690000
429,999.900000,26.680000
430,999.900000,26.700000
431,999.900000,26.690000
432,999.900000,26.690000
433,999.900000,26.700000
434,999.890000,26.710000
435,999.890000,26.710000
436,999.890000,26.710000
437,999.890000,26.700000
438,999.890000,26.700000
439,999.890000,26.700000
440,999.890000,26.690000
441,999.890000,26.710000
442,999.890000,26.700000
443,999.890000,26.700000
444,999.890000,26.700000
445,999.890000,26.700000
446,999.890000,26.700000
447,999.890000,26.700000
448,999.900000,26.700000
449,999.900000,26.700000
450,999.890000,26.690000
451,999.890000,26.700000
452,999.890000,26.700000
453,999.890000,26.700000
454,999.890000,26.710000
455,999.890000,26.700000
456,999.890000,26.720000
457,999.890000,26.720000
458,999.900000,26.710000
459,999.890000,26.710000
460,999.890000,26.710000
461,999.890000,26.720000
462,999.900000,26.720000
463,999.900000,26.720000
464,999.900000,26.720000
465,999.900000,26.730000
466,999.900000,26.720000
467,999.900000,26.710000
468,999.900000,26.720000
469,999.900000,26.720000
470,999.900000,26.730000
471,999.900000,26.730000
472,999.900000,26.710000
473,999.900000,26.720000
474,999.900000,26.710000
475,999.900000,26.720000
476,999.900000,26.720000
477,999.900000,26.730000
478,999.900000,26.720000
479,999.900000,26.720000
480,999.900000,26.710000
481,999.910000,26.710000
482,999.910000,26.710000
483,999.900000,26.710000
484,999.900000,26.710000
485,999.900000,26.700000
486,999.900000,26.690000
487,999.910000,26.700000
488,999.910000,26.700000
489,999.910000,26.690000
490,999.910000,26.700000
491,999.910000,26.700000
492,999.910000,26.700000
493,999.920000,26.710000
494,999.920000,26.700000
495,999.920000,26.700000
496,999.920000,26.710000
497,999.920000,26.710000
498,999.920000,26.700000
499,999.920000,26.700000
500,999.920000,26.710000
501,999.920000,26.710000
502,999.920000,26.700000
503,999.920000,26.700000
504,999.920000,26.700000
505,999.920000,26.700000
506,999.930000,26.710000
507,999.930000,26.720000
508,999.930000,26.720000
509,999.920000,26.710000
510,999.930000,26.720000
511,999.920000,26.710000
512,999.920000,26.710000
513,999.920000,26.720000
514,999.920000,26.720000
515,999.920000,26.710000
516,999.910000,26.720000
517,999.910000,26.710000
518,999.920000,26.720000
519,999.910000,26.710000
520,999.910000,26.710000
521,999.910000,26.710000
522,999.910000,26.720000
523,999.910000,26.710000
524,999.910000,26.710000
525,999.910000,26.710000
526,999.920000,26.710000
527,999.910000,26.710000
528,999.920000,26.710000
529,999.910000,26.710000
530,999.910000,26.720000
531,999.910000,26.710000
532,999.910000,26.720000
533,999.910000,26.720000
534,999.910000,26.720000
535,999.910000,26.720000
536,999.910000,26.720000
537,999.910000,26.720000
538,999.910000,26.720000
539,999.910000,26.720000
540,999.910000,26.720000
541,999.910000,26.730000
542,999.910000,26.730000
543,999.910000,26.730000
544,999.910000,26.730000
545,999.910000,26.740000
546,999.910000,26.740000
547,999.910000,26.730000
548,999.910000,26.740000
549,999.920000,26.740000
550,999.910000,26.740000
551,999.920000,26.740000
552,999.920000,26.740000
553,999.920000,26.740000
554,999.920000,26.730000
555,999.920000,26.730000
556,999.920000,26.730000
557,999.920000,26.740000
558,999.930000,26.750000
559,999.930000,26.750000
560,999.930000,26.760000
561,999.930000,26.760000
562,999.930000,26.750000
563,999.930000,26.750000
564,999.930000,26.750000
565,999.930000,26.750000
566,999.930000,26.760000
567,999.930000,26.760000
568,999.930000,26.760000
569,999.930000,26.760000
570,999.930000,26.760000
571,999.930000,26.750000
572,999.930000,26.760000
573,999.930000,26.750000
574,999.920000,26.740000
575,999.920000,26.750000
576,999.920000,26.760000
577,999.920000,26.750000
578,999.930000,26.750000
579,999.930000,26.750000
580,999.930000,26.750000
581,999.930000,26.760000
582,999.930000,26.750000
583,999.930000,26.760000
584,999.920000,26.750000
585,999.920000,26.750000
586,999.920000,26.750000
587,999.910000,26.740000
588,999.910000,26.740000
589,999.910000,26.740000
590,999.910000,26.740000
591,999.900000,26.740000
592,999.900000,26.730000
593,999.900000,26.740000
594,999.900000,26.740000
595,999.900000,26.730000
596,999.900000,26.740000
597,999.900000,26.740000
598,999.900000,26.740000
599,999.900000,26.730000
600,999.900000,26.730000
601,999.900000,26.730000
602,999.900000,26.740000
603,999.890000,26.740000
604,999.890000,26.730000
605,999.880000,26.730000
606,999.880000,26.720000
607,999.880000,26.720000
608,999.880000,26.730000
609,999.880000,26.730000
610,999.880000,26.730000
611,999.880000,26.720000
612,999.880000,26.720000
613,999.880000,26.720000
614,999.890000,26.710000
615,999.890000,26.710000
616,999.900000,26.730000
617,999.900000,26.730000
618,999.900000,26.730000
619,999.900000,26.730000
620,999.910000,26.730000
621,999.910000,26.730000
622,999.910000,26.730000
623,999.910000,26.720000
624,999.920000,26.730000
625,999.920000,26.730000
626,999.920000,26.720000
627,999.920000,26.730000
628,999.920000,26.720000
629,999.920000,26.720000
630,999.930000,26.730000
631,999.930000,26.720000
632,999.940000,26.730000
633,999.940000,26.720000
634,999.930000,26.720000
635,999.930000,26.720000
636,999.930000,26.720000
637,999.930000,26.730000
638,999.920000,26.740000
639,999.910000,26.730000
640,999.910000,26.740000
641,999.910000,26.720000
642,999.910000,26.730000
643,999.910000,26.750000
644,999.900000,26.740000
645,999.900000,26.740000
646,999.910000,26.740000
647,999.920000,26.740000
648,999.910000,26.740000
649,999.910000,26.740000
650,999.910000,26.750000
651,999.910000,26.750000
652,999.910000,26.740000
653,999.910000,26.740000
654,999.910000,26.750000
655,999.910000,26.750000
656,999.910000,26.750000
657,999.910000,26.750000
658,999.910000,26.750000
659,999.910000,26.750000
660,999.920000,26.760000
661,999.910000,26.760000
662,999.910000,26.760000
663,999.920000,26.770000
