Point,Pressure(hPa),Temp(C)
1,996.350000,26.270000
2,996.360000,26.280000
3,996.370000,26.280000
4,996.380000,26.280000
5,996.380000,26.290000
6,996.380000,26.280000
7,996.380000,26.280000
8,996.380000,26.290000
9,996.380000,26.280000
10,996.370000,26.280000
11,996.360000,26.280000
12,996.360000,26.280000
13,996.350000,26.280000
14,996.350000,26.280000
15,996.360000,26.280000
16,996.350000,26.270000
17,996.350000,26.270000
18,996.350000,26.270000
19,996.340000,26.270000
20,996.340000,26.270000
21,996.340000,26.270000
22,996.340000,26.260000
23,996.340000,26.260000
24,996.330000,26.260000
25,996.330000,26.260000
26,996.330000,26.250000
27,996.330000,26.250000
28,996.340000,26.260000
29,996.340000,26.250000
30,996.350000,26.260000
31,996.360000,26.260000
32,996.370000,26.250000
33,996.380000,26.250000
34,996.390000,26.260000
35,996.400000,26.250000
36,996.410000,26.260000
37,996.410000,26.250000
38,996.410000,26.250000
39,996.400000,26.260000
40,996.400000,26.260000
41,996.400000,26.250000
42,996.400000,26.260000
43,996.400000,26.240000
44,996.380000,26.250000
45,996.380000,26.250000
46,996.370000,26.250000
47,996.360000,26.240000
48,996.360000,26.250000
49,996.360000,26.250000
50,996.360000,26.250000
51,996.360000,26.250000
52,996.360000,26.250000
53,996.370000,26.240000
54,996.370000,26.240000
55,996.370000,26.250000
56,996.370000,26.250000
57,996.370000,26.240000
58,996.370000,26.240000
59,996.370000,26.250000
60,996.370000,26.250000
61,996.370000,26.250000
62,996.370000,26.260000
63,996.360000,26.250000
64,996.360000,26.260000
65,996.350000,26.260000
66,996.350000,26.260000
67,996.350000,26.260000
68,996.350000,26.260000
69,996.350000,26.250000
70,996.350000,26.250000
71,996.350000,26.250000
72,996.350000,26.240000
73,996.350000,26.250000
74,996.360000,26.250000
75,996.360000,26.240000
76,996.360000,26.250000
77,996.360000,26.230000
78,996.360000,26.230000
79,996.360000,26.230000
80,996.360000,26.240000
81,996.360000,26.230000
82,996.350000,26.220000
83,996.350000,26.220000
84,996.350000,26.220000
85,996.360000,26.210000
86,996.360000,26.210000
87,996.360000,26.210000
88,996.360000,26.210000
89,996.350000,26.210000
90,996.340000,26.220000
91,996.340000,26.220000
92,996.330000,26.210000
93,996.330000,26.210000
94,996.320000,26.210000
95,996.320000,26.200000
96,996.320000,26.200000
97,996.310000,26.200000
98,996.310000,26.200000
99,996.300000,26.200000
100,996.300000,26.200000
101,996.310000,26.200000
102,996.310000,26.200000
103,996.320000,26.210000
104,996.330000,26.200000
105,996.340000,26.200000
