Point,Pressure(hPa),Temp(C),Pressure(hPa),Temp(C)
0,1007.760000,23.860000,1007.520000,23.680000
30,1007.780000,23.670000,1007.540000,23.510000
60,1007.770000,23.470000,1007.530000,23.420000
90,1007.760000,23.280000,1007.530000,23.300000
120,1007.780000,23.200000,1007.550000,23.220000
150,1007.800000,23.130000,1007.560000,23.150000
180,1007.790000,23.050000,1007.560000,23.080000
210,1007.800000,22.940000,1007.560000,23.000000
240,1007.800000,22.870000,1007.560000,22.940000
270,1007.780000,22.830000,1007.540000,22.900000
300,1007.780000,22.780000,1007.550000,22.890000
330,1007.790000,22.750000,1007.560000,22.880000
360,1007.780000,22.710000,1007.550000,22.840000
390,1007.770000,22.620000,1007.540000,22.810000
420,1007.770000,22.590000,1007.540000,22.830000
450,1007.780000,22.560000,1007.540000,22.790000
480,1007.780000,22.480000,1007.540000,22.690000
510,1007.770000,22.390000,1007.540000,22.670000
540,1007.770000,22.250000,1007.540000,22.620000
570,1007.780000,22.210000,1007.540000,22.610000
600,1007.800000,22.220000,1007.560000,22.600000
630,1007.800000,22.200000,1007.570000,22.690000
660,1007.820000,22.250000,1007.590000,22.810000
690,1007.830000,22.300000,1007.590000,22.890000
720,1007.850000,22.350000,1007.620000,22.950000
750,1007.860000,22.380000,1007.630000,23.000000
780,1007.880000,22.420000,1007.650000,23.110000
810,1007.890000,22.460000,1007.650000,23.160000
840,1007.900000,22.500000,1007.670000,23.200000
870,1007.910000,22.580000,1007.670000,23.280000
900,1007.920000,22.580000,1007.690000,23.270000
930,1007.930000,22.610000,1007.700000,23.310000
960,1007.930000,22.650000,1007.690000,23.300000
990,1007.970000,22.700000,1007.720000,23.360000
1020,1007.970000,22.790000,1007.730000,23.440000
1050,1007.970000,22.860000,1007.730000,23.500000
1080,1007.970000,22.940000,1007.730000,23.560000
1110,1007.980000,23.010000,1007.730000,23.610000
1140,1007.970000,23.090000,1007.730000,23.690000
1170,1007.970000,23.130000,1007.730000,23.760000
1200,1007.960000,23.180000,1007.720000,23.800000
1230,1007.950000,23.270000,1007.710000,23.870000
1260,1007.960000,23.370000,1007.720000,23.980000
1290,1007.970000,23.380000,1007.730000,23.990000
1320,1007.970000,23.390000,1007.730000,24.040000
1350,1007.980000,23.460000,1007.740000,24.110000
1380,1007.970000,23.530000,1007.740000,24.190000
1410,1007.980000,23.530000,1007.740000,24.210000
1440,1007.980000,23.500000,1007.750000,24.170000
1470,1007.980000,23.540000,1007.750000,24.260000
1500,1008.010000,23.570000,1007.770000,24.280000
1530,1008.010000,23.560000,1007.780000,24.280000
1560,1008.020000,23.500000,1007.790000,24.240000
1590,1008.030000,23.500000,1007.800000,24.290000
1620,1008.020000,23.440000,1007.800000,24.290000
1650,1008.020000,23.290000,1007.800000,24.090000
1680,1008.030000,23.110000,1007.800000,23.930000
1710,1008.030000,22.930000,1007.810000,23.780000
1740,1008.060000,22.670000,1007.830000,23.600000
1770,1008.060000,22.500000,1007.830000,23.380000
1800,1008.060000,22.250000,1007.830000,23.200000
1830,1008.060000,22.040000,1007.830000,23.020000
1860,1008.050000,21.770000,1007.820000,22.780000
1890,1008.050000,21.480000,1007.820000,22.530000
1920,1008.050000,21.240000,1007.810000,22.400000
1950,1008.040000,21.150000,1007.810000,22.440000
1980,1008.040000,21.130000,1007.810000,22.430000
2010,1008.040000,21.090000,1007.810000,22.340000
2040,1008.020000,21.020000,1007.790000,22.260000
2070,1008.030000,21.000000,1007.800000,22.180000
2100,1008.040000,20.990000,1007.800000,22.150000
2130,1008.030000,20.940000,1007.800000,22.060000
2160,1008.050000,20.970000,1007.830000,22.100000
2190,1008.050000,20.940000,1007.820000,22.030000
2220,1008.060000,20.970000,1007.830000,21.980000
2250,1008.060000,20.990000,1007.830000,21.930000
2280,1008.080000,20.990000,1007.850000,21.930000
2310,1008.080000,21.010000,1007.850000,21.980000
2340,1008.090000,21.070000,1007.860000,22.030000
2370,1008.100000,21.140000,1007.860000,22.110000
2400,1008.100000,21.190000,1007.870000,22.140000
2430,1008.110000,21.240000,1007.880000,22.170000
2460,1008.120000,21.330000,1007.890000,22.250000
2490,1008.130000,21.400000,1007.900000,22.310000
2520,1008.130000,21.480000,1007.900000,22.370000
2550,1008.130000,21.500000,1007.900000,22.430000
2580,1008.120000,21.530000,1007.890000,22.460000
2610,1008.110000,21.570000,1007.880000,22.500000
2640,1008.120000,21.630000,1007.880000,22.540000
2670,1008.110000,21.650000,1007.890000,22.600000
2700,1008.120000,21.700000,1007.890000,22.630000
2730,1008.130000,21.730000,1007.900000,22.630000
2760,1008.130000,21.760000,1007.900000,22.630000
2790,1008.150000,21.820000,1007.920000,22.660000
2820,1008.160000,21.850000,1007.930000,22.710000
2850,1008.170000,21.870000,1007.950000,22.710000
2880,1008.180000,21.890000,1007.950000,22.700000
2910,1008.180000,21.920000,1007.950000,22.770000
2940,1008.190000,21.960000,1007.960000,22.790000
2970,1008.210000,22.000000,1007.980000,22.810000
3000,1008.220000,22.070000,1007.990000,22.880000
3030,1008.220000,22.150000,1007.990000,23.020000
3060,1008.230000,22.210000,1007.990000,23.080000
3090,1008.220000,22.300000,1007.980000,23.150000
3120,1008.230000,22.350000,1007.990000,23.160000
3150,1008.230000,22.440000,1008.000000,23.230000
3180,1008.220000,22.480000,1007.990000,23.310000
3210,1008.220000,22.610000,1007.990000,23.460000
3240,1008.210000,22.620000,1007.980000,23.490000
3270,1008.200000,22.620000,1007.960000,23.490000
3300,1008.190000,22.630000,1007.960000,23.560000
3330,1008.200000,22.670000,1007.970000,23.560000
3360,1008.210000,22.750000,1007.970000,23.620000
3390,1008.190000,22.820000,1007.970000,23.670000
3420,1008.180000,22.770000,1007.950000,23.620000
3450,1008.180000,22.700000,1007.950000,23.600000
3480,1008.180000,22.660000,1007.960000,23.570000
3510,1008.180000,22.670000,1007.960000,23.620000
3540,1008.190000,22.660000,1007.960000,23.640000
3570,1008.180000,22.660000,1007.950000,23.690000
3600,1008.180000,22.650000,1007.960000,23.670000
3630,1008.200000,22.620000,1007.970000,23.620000
3660,1008.210000,22.610000,1007.990000,23.650000
3690,1008.220000,22.620000,1008.000000,23.610000
3720,1008.240000,22.610000,1008.010000,23.630000
3750,1008.260000,22.620000,1008.030000,23.640000
3780,1008.260000,22.610000,1008.040000,23.660000
3810,1008.260000,22.670000,1008.040000,23.690000
3840,1008.280000,22.610000,1008.060000,23.600000
3870,1008.290000,22.600000,1008.060000,23.620000
3900,1008.300000,22.600000,1008.070000,23.650000
3930,1008.290000,22.590000,1008.070000,23.580000
3960,1008.300000,22.600000,1008.070000,23.530000
3990,1008.310000,22.610000,1008.080000,23.510000
4020,1008.310000,22.600000,1008.090000,23.480000
4050,1008.300000,22.600000,1008.070000,23.470000
4080,1008.310000,22.580000,1008.080000,23.460000
4110,1008.320000,22.560000,1008.100000,23.480000
4140,1008.340000,22.520000,1008.110000,23.470000
4170,1008.360000,22.560000,1008.130000,23.500000
4200,1008.360000,22.560000,1008.140000,23.540000
4230,1008.360000,22.550000,1008.140000,23.530000
4260,1008.380000,22.550000,1008.150000,23.500000
4290,1008.390000,22.530000,1008.170000,23.500000
4320,1008.400000,22.520000,1008.170000,23.460000
4350,1008.410000,22.560000,1008.180000,23.490000
4380,1008.420000,22.600000,1008.190000,23.530000
4410,1008.420000,22.570000,1008.200000,23.510000
4440,1008.420000,22.570000,1008.200000,23.480000
4470,1008.430000,22.550000,1008.200000,23.410000
4500,1008.440000,22.560000,1008.210000,23.390000
4530,1008.440000,22.530000,1008.220000,23.390000
4560,1008.440000,22.550000,1008.220000,23.420000
4590,1008.450000,22.580000,1008.220000,23.420000
4620,1008.450000,22.580000,1008.230000,23.410000
4650,1008.450000,22.560000,1008.230000,23.390000
4680,1008.460000,22.530000,1008.240000,23.360000
4710,1008.470000,22.550000,1008.240000,23.400000
4740,1008.470000,22.580000,1008.240000,23.430000
4770,1008.470000,22.590000,1008.240000,23.430000
4800,1008.470000,22.590000,1008.240000,23.420000
4830,1008.480000,22.610000,1008.250000,23.430000
4860,1008.490000,22.620000,1008.270000,23.460000
4890,1008.490000,22.570000,1008.260000,23.430000
4920,1008.510000,22.560000,1008.280000,23.390000
4950,1008.510000,22.600000,1008.290000,23.500000
4980,1008.520000,22.610000,1008.290000,23.470000
5010,1008.520000,22.580000,1008.290000,23.400000
5040,1008.530000,22.550000,1008.310000,23.380000
5070,1008.540000,22.550000,1008.320000,23.430000
5100,1008.530000,22.550000,1008.300000,23.400000
5130,1008.540000,22.530000,1008.320000,23.360000
5160,1008.550000,22.530000,1008.330000,23.350000
5190,1008.550000,22.500000,1008.330000,23.330000
5220,1008.560000,22.470000,1008.340000,23.360000
5250,1008.560000,22.450000,1008.340000,23.340000
5280,1008.570000,22.430000,1008.350000,23.290000
5310,1008.590000,22.410000,1008.370000,23.300000
5340,1008.600000,22.450000,1008.380000,23.330000
5370,1008.610000,22.450000,1008.390000,23.320000
5400,1008.610000,22.460000,1008.380000,23.320000
5430,1008.630000,22.450000,1008.410000,23.290000
5460,1008.640000,22.450000,1008.420000,23.290000
5490,1008.630000,22.480000,1008.410000,23.320000
5520,1008.620000,22.470000,1008.390000,23.290000
5550,1008.610000,22.480000,1008.390000,23.280000
5580,1008.610000,22.500000,1008.390000,23.340000
5610,1008.610000,22.490000,1008.390000,23.350000
5640,1008.620000,22.480000,1008.410000,23.390000
5670,1008.640000,22.540000,1008.410000,23.430000
5700,1008.640000,22.510000,1008.420000,23.380000
5730,1008.650000,22.540000,1008.430000,23.430000
5760,1008.660000,22.500000,1008.440000,23.410000
5790,1008.680000,22.490000,1008.460000,23.370000
5820,1008.690000,22.440000,1008.470000,23.290000
5850,1008.710000,22.430000,1008.490000,23.300000
5880,1008.720000,22.470000,1008.490000,23.290000
5910,1008.730000,22.460000,1008.500000,23.280000
5940,1008.730000,22.410000,1008.500000,23.240000
5970,1008.730000,22.400000,1008.500000,23.240000
6000,1008.720000,22.370000,1008.500000,23.230000
6030,1008.730000,22.420000,1008.500000,23.270000
