Point,Pressure(hPa),Temp(C)
1,990.430000,24.420000
2,990.430000,24.410000
3,990.420000,24.400000
4,990.430000,24.400000
5,990.440000,24.400000
6,990.510000,24.410000
7,990.420000,24.390000
8,990.420000,24.380000
9,990.390000,24.380000
10,990.430000,24.390000
11,990.420000,24.380000
12,990.420000,24.370000
13,990.420000,24.370000
14,990.420000,24.380000
15,990.420000,24.370000
16,990.420000,24.350000
17,990.420000,24.360000
18,990.420000,24.360000
19,990.420000,24.360000
20,990.420000,24.350000
21,990.420000,24.360000
22,990.420000,24.360000
23,990.420000,24.350000
24,990.420000,24.360000
25,990.420000,24.350000
26,990.420000,24.350000
27,990.420000,24.330000
28,990.420000,24.340000
29,990.420000,24.340000
30,990.420000,24.330000
31,990.420000,24.330000
32,990.420000,24.320000
33,990.420000,24.320000
34,990.420000,24.330000
35,990.420000,24.330000
36,990.420000,24.340000
37,990.420000,24.330000
38,990.420000,24.320000
39,990.420000,24.310000
40,990.420000,24.320000
41,990.420000,24.320000
42,990.420000,24.310000
43,990.420000,24.310000
44,990.420000,24.330000
45,990.420000,24.330000
46,990.420000,24.310000
47,990.420000,24.330000
48,990.420000,24.310000
49,990.420000,24.320000
50,990.420000,24.300000
51,990.420000,24.300000
52,990.420000,24.310000
53,990.410000,24.290000
54,990.410000,24.280000
55,990.420000,24.290000
56,990.420000,24.290000
57,990.410000,24.280000
58,990.410000,24.280000
59,990.410000,24.280000
60,990.410000,24.280000
61,990.410000,24.280000
62,990.410000,24.290000
63,990.410000,24.270000
64,990.410000,24.270000
65,990.410000,24.270000
66,990.410000,24.270000
67,990.410000,24.270000
68,990.410000,24.260000
69,990.410000,24.250000
70,990.410000,24.250000
71,990.410000,24.270000
72,990.410000,24.250000
73,990.410000,24.250000
74,990.410000,24.250000
75,990.410000,24.250000
76,990.410000,24.240000
77,990.410000,24.250000
78,990.400000,24.240000
79,990.400000,24.240000
80,990.400000,24.230000
81,990.410000,24.240000
82,990.410000,24.250000
83,990.400000,24.230000
84,990.400000,24.230000
85,990.410000,24.240000
86,990.410000,24.240000
87,990.370000,24.230000
88,990.400000,24.240000
89,990.490000,24.240000
90,990.440000,24.240000
91,990.410000,24.240000
92,990.400000,24.230000
93,990.410000,24.230000
94,990.410000,24.230000
95,990.400000,24.230000
96,990.410000,24.230000
97,990.410000,24.230000
98,990.400000,24.210000
99,990.410000,24.230000
100,990.400000,24.220000
101,990.400000,24.230000
102,990.410000,24.240000
103,990.400000,24.230000
104,990.410000,24.240000
105,990.400000,24.230000
106,990.400000,24.240000
107,990.400000,24.220000
108,990.400000,24.210000
109,990.400000,24.200000
110,990.400000,24.220000
111,990.400000,24.200000
112,990.400000,24.210000
113,990.400000,24.210000
114,990.400000,24.210000
115,990.400000,24.220000
116,990.400000,24.200000
117,990.400000,24.200000
118,990.400000,24.210000
119,990.400000,24.220000
120,990.400000,24.210000
121,990.400000,24.210000
122,990.400000,24.210000
123,990.400000,24.230000
124,990.400000,24.210000
125,990.400000,24.210000
126,990.400000,24.220000
127,990.400000,24.210000
128,990.400000,24.210000
129,990.400000,24.220000
130,990.400000,24.220000
131,990.400000,24.220000
132,990.400000,24.210000
133,990.390000,24.200000
134,990.390000,24.210000
135,990.400000,24.210000
136,990.400000,24.220000
137,990.400000,24.210000
138,990.450000,24.210000
139,990.400000,24.220000
140,990.400000,24.210000
141,990.360000,24.220000
142,990.400000,24.220000
143,990.390000,24.200000
144,990.400000,24.200000
145,990.390000,24.230000
146,990.390000,24.210000
147,990.390000,24.210000
148,990.390000,24.220000
149,990.390000,24.220000
150,990.390000,24.220000
151,990.390000,24.220000
152,990.390000,24.230000
153,990.390000,24.240000
154,990.390000,24.230000
155,990.390000,24.220000
156,990.390000,24.230000
157,990.390000,24.220000
158,990.390000,24.220000
159,990.390000,24.230000
160,990.390000,24.230000
161,990.390000,24.230000
162,990.390000,24.230000
163,990.380000,24.220000
164,990.380000,24.230000
165,990.380000,24.230000
166,990.380000,24.240000
167,990.380000,24.230000
168,990.380000,24.240000
169,990.380000,24.230000
170,990.380000,24.230000
171,990.370000,24.220000
172,990.370000,24.220000
173,990.370000,24.220000
174,990.370000,24.230000
175,990.370000,24.230000
176,990.370000,24.240000
177,990.370000,24.230000
178,990.370000,24.230000
179,990.370000,24.240000
180,990.360000,24.240000
181,990.360000,24.240000
182,990.360000,24.250000
183,990.360000,24.240000
184,990.360000,24.250000
185,990.360000,24.270000
186,990.360000,24.260000
187,990.360000,24.260000
188,990.350000,24.250000
189,990.350000,24.260000
190,990.350000,24.260000
191,990.350000,24.270000
192,990.350000,24.270000
